AREA,PROPORTIONAL,COMPETITIVE,MINORITY,COMPACT,SPLITTING,POPULATION,DISTRICT%,CUMULATIVE%
52,13,13,13,11,7,116253,0.1496,0.5158
53,13,13,12,11,7,115633,0.1488,0.5215
54,3,2,2,3,3,114500,0.1474,0.5272
55,3,3,3,3,13,114101,0.1469,0.5328
56,11,12,5,8,6,113975,0.1467,0.5385
57,21,21,22,22,22,112242,0.1445,0.5440
58,4,3,6,4,3,111292,0.1432,0.5495
59,21,20,21,21,23,108505,0.1397,0.5549
60,4,4,4,3,3,108245,0.1393,0.5603
61,23,23,23,25,21,108052,0.1391,0.5656
62,18,18,19,18,19,107195,0.1380,0.5709
63,4,4,4,5,13,106410,0.1370,0.5762
64,20,22,22,20,20,105744,0.1361,0.5814
65,3,3,3,4,3,103744,0.1335,0.5866
66,24,24,25,23,24,103741,0.1335,0.5917
67,20,21,21,21,20,102856,0.1324,0.5968
68,7,8,14,13,10,101803,0.1310,0.6018
69,19,21,20,19,20,99399,0.1279,0.6067
70,12,12,11,10,14,99059,0.1275,0.6116
71,11,6,10,8,6,94097,0.1211,0.6163
72,18,18,18,18,16,94030,0.1210,0.6210
73,6,7,4,5,5,93616,0.1205,0.6256
74,2,2,3,2,2,90883,0.1170,0.6301
75,7,8,7,12,10,90324,0.1163,0.6346
76,4,4,4,5,5,90299,0.1162,0.6390
77,22,21,22,22,22,87790,0.1130,0.6434
78,15,9,15,14,8,86737,0.1116,0.6477
79,23,23,24,25,21,83614,0.1076,0.6518
80,18,17,17,18,16,83374,0.1073,0.6559
81,15,15,16,14,8,82721,0.1065,0.6600
82,9,10,9,8,9,82316,0.1059,0.6641
83,5,7,6,5,5,81055,0.1043,0.6681
84,22,20,21,22,23,79258,0.1020,0.6720
85,22,23,24,20,21,79064,0.1018,0.6760
86,3,2,3,3,3,78039,0.1004,0.6798
87,20,19,20,19,20,77062,0.0992,0.6836
88,4,4,4,3,13,76515,0.0985,0.6874
89,22,24,24,25,23,76248,0.0981,0.6912
90,20,17,19,20,16,75199,0.0968,0.6949
91,22,24,22,25,22,73546,0.0947,0.6986
92,22,20,22,25,22,73299,0.0943,0.7022
93,11,12,9,6,4,72961,0.0939,0.7058
94,15,15,14,14,8,70539,0.0908,0.7093
95,9,11,9,8,6,69735,0.0898,0.7127
96,9,6,8,7,9,68327,0.0879,0.7161
97,11,11,10,8,6,67542,0.0869,0.7195
98,11,12,7,8,6,67426,0.0868,0.7228
99,26,26,26,26,26,67095,0.0864,0.7261
100,15,9,16,14,8,65991,0.0849,0.7294
101,13,14,13,15,7,64807,0.0834,0.7326
102,25,25,23,24,26,63731,0.0820,0.7358
103,24,24,24,23,24,63699,0.0820,0.7389
104,17,17,18,17,17,63190,0.0813,0.7420
105,11,6,7,6,4,61026,0.0785,0.7451
106,14,15,15,14,8,60845,0.0783,0.7481
107,11,6,7,8,6,59746,0.0769,0.7510
108,2,4,3,2,2,59144,0.0761,0.7540
109,15,14,15,11,8,58974,0.0759,0.7569
110,15,9,14,14,17,58057,0.0747,0.7598
111,7,8,5,13,10,57821,0.0744,0.7626
112,5,8,7,12,12,56853,0.0732,0.7654
113,20,19,20,21,23,56846,0.0732,0.7682
114,18,17,17,17,16,56362,0.0725,0.7710
115,9,11,10,8,6,56219,0.0724,0.7738
116,8,11,5,9,11,55661,0.0716,0.7766
117,6,10,5,9,11,55165,0.0710,0.7793
118,23,22,23,20,21,54970,0.0707,0.7820
119,10,5,9,7,4,54297,0.0699,0.7847
120,6,7,5,12,5,53449,0.0688,0.7874
121,25,25,23,26,26,52781,0.0679,0.7900
122,22,21,22,25,22,52575,0.0677,0.7926
123,21,21,21,21,20,52258,0.0673,0.7952
124,8,10,10,9,11,50756,0.0653,0.7977
125,24,24,23,23,24,50661,0.0652,0.8002
126,10,5,9,6,4,50380,0.0648,0.8027
127,6,10,5,12,9,49994,0.0643,0.8051
128,4,3,3,4,3,49799,0.0641,0.8076
129,8,10,10,9,9,49175,0.0633,0.8100
130,15,16,16,14,15,48508,0.0624,0.8124
131,5,7,6,4,5,47619,0.0613,0.8148
132,3,3,2,3,13,47143,0.0607,0.8171
133,14,14,15,15,15,46912,0.0604,0.8195
134,23,22,19,20,21,46042,0.0593,0.8217
135,25,23,23,25,26,45730,0.0589,0.8240
136,11,6,9,6,4,44223,0.0569,0.8262
137,23,22,23,26,21,43908,0.0565,0.8284
138,14,15,13,15,15,43737,0.0563,0.8305
139,7,8,14,12,12,42142,0.0542,0.8326
140,10,5,8,7,9,42105,0.0542,0.8347
141,19,19,21,19,19,39834,0.0513,0.8367
142,16,14,13,16,15,39812,0.0512,0.8386
143,8,12,5,9,11,39265,0.0505,0.8406
144,17,18,16,17,18,38662,0.0498,0.8425
145,8,12,10,9,11,38360,0.0494,0.8444
146,22,20,24,22,23,38267,0.0493,0.8463
147,7,8,14,13,12,37840,0.0487,0.8482
148,5,6,6,12,12,37788,0.0486,0.8500
149,12,13,12,11,7,37727,0.0486,0.8519
150,6,8,5,12,10,37688,0.0485,0.8538
151,14,15,15,15,8,37358,0.0481,0.8556
152,7,9,14,13,10,37032,0.0477,0.8575
153,10,6,9,7,6,36330,0.0468,0.8593
154,17,18,18,18,17,36275,0.0467,0.8611
